source_country,total,internal,external,external_platforms,external_not_platforms,internal_to_external,internal_to_external_no_platforms
AUS,47555,16431,31124,2065,29059,0.5279205757614702,0.5654358374341856
GBR,195029,101297,93732,12566,81166,1.0807088294285836,1.2480225710272774
IND,243150,159632,83518,20760,62758,1.911348451830743,2.5436119697887123
KEN,12142,8513,3629,369,3260,2.3458252962248554,2.6113496932515337
PHL,18331,14468,3863,1257,2606,3.7452756924669948,5.5518035303146585
USA,922918,370451,552467,70889,481578,0.670539597840233,0.7692440269281404
ZAF,42844,16052,26792,4649,22143,0.5991340698716034,0.7249243553267398
